                                                                          id_sql    count  avg_time(ms)
                             CfCustomerBase.selPersonBasicList_count_@@@@@@@@@@@      159    6,645
                                               CfCustomerBase.selPersonBasicList      137    9,117
                      TabTaAccount.taa_account.Entity.selectByIndexWithLock_odb1       78      679
                                        CfCustomerQuerySing.selCustPotentialInfo       67    1,374
                                           DcTrxnFinance.selTrxnFinanceBy90Field       10      581
                                   DcTrxnFinance.selTrxnFinanceByRRNApprovalCode       10      457
                                       [notifyNameSql.updateNotifyStatusBySeqNum        8      354
                                             CfCustomerBase.selCustPotentialList        7      962
                        TabApBook.apb_sequence.Entity.selectByIndexWithLock_odb1        7      395
                                     ApBook.selCfBusinessAudit_count_@@@@@@@@@@@        4    2,908
                                           [TabApBook.aps_call_seq.Entity.insert        3      491
                                            DcCardPrecast.selSinglePrecastCardNo        3      393
                                                   DpAcctQuery.selAcctBillRecord        3      364
                                        [TabApBook.aps_transaction.Entity.insert        3      343
                                        DcTrxnFinance.selTrxnAtmFinanceBy90Field        3      460
                          TabCfCustomer.cfb_person_doc.Entity.selectByIndex_odb3        2      345
                                TabDpBusiMain.dpa_card.Entity.selectByIndex_odb2        2      510
                                             [TabApBook.aps_packet.Entity.insert        2      366
                 TabDpBusiMain.dpa_sub_account.Entity.selectByIndexWithLock_odb1        2    6,017
                                                     TaAccount.selAcctTrxnDetail        2      682
                                           AtQuery.selLoanList_count_@@@@@@@@@@@        2      315
                       TabDpBusiMain.dpa_refer_account.Entity.selectByIndex_odb1        2    1,014
                           TabApBook.apb_account_route.Entity.selectByIndex_odb1        1      325
                                     [TabApBook.apl_reversal_event.Entity.insert        1    1,897
                     TabCfCustomer.cfb_person_employer.Entity.selectByIndex_odb1        1      439
                     TabDpBusiMain.dpa_account.Entity.selectByIndexWithLock_odb1        1      310
                                              CfCustomerBase.selCustRelationList        1      365
                      [TabApAttribute.apb_limit_statis.Entity.updateByIndex_odb1        1      370
                         TabDpBusiMain.dpa_sub_account.Entity.selectByIndex_odb1        1      340
                            TabDpInterest.dpa_interest.Entity.selectByIndex_odb2        1      452
                                   [TabTaBill.tas_accounting_event.Entity.insert        1      395
                                          DpAcctQuery.selAllAcctAccessInByCustNo        1      358
                                                  DpFroze.selWholeBalFrozeSource        1      452
                                 [TabCfCustomer.cfb_person_address.Entity.insert        1      379
                                                     TfParm.selDragonPayInfoList        1      316
                                                 DpAcctQuery.selMerNameBytrxnseq        1      425
                                        [TabDpBusiMain.dpa_account.Entity.insert        1      324
                        KsysSvcDefine.ksys_ywfwdy.Entity.selectByIndex_odb_uidx1        1      341
                   TabDpProtocol.dpb_withdrawl_protect.Entity.selectByIndex_odb4        1    1,992
                                                     DpFroze.selFrozeByFrozeInfo        1      768
                                                          DpCommon.locateSubAcct        1    1,890
                          TabApBasic.app_business_drop.Entity.selectByIndex_odb2        1    1,719
                                       [TabDpInterest.dpa_interest.Entity.insert        1    1,682
                             TabLnBusiness.lna_formula.Entity.selectByIndex_odb2        1    1,719
                                    [TabCfCustomer.cfb_person_base.Entity.insert        1      316
                                                      DcCardQuery.selTrxnFinance        1      507
